,Survival Rate,Stocking Density,Growth Rate,Number of Subsystems Used,Gallons Used in Weekly Harvest,Weekly Harvest Yield (Pounds)
0,0.9,500.0,0.8,3.0,120000.0,9000.0
1,0.9,500.0,1.1,4.0,160000.0,12000.0
2,0.9,500.0,1.3,5.0,200000.0,15000.0
3,0.9,500.0,1.6,6.0,240000.0,18000.0
4,0.9,500.0,2.0,7.0,280000.0,21000.0
5,0.9,750.0,0.8,3.0,120000.0,13500.0
6,0.9,750.0,1.1,4.0,160000.0,18000.0
7,0.9,750.0,1.3,5.0,200000.0,22500.0
8,0.9,750.0,1.6,6.0,240000.0,27000.0
9,0.9,750.0,2.0,7.0,280000.0,31500.0
10,0.9,1000.0,0.8,3.0,120000.0,18000.0
11,0.9,1000.0,1.1,4.0,160000.0,24000.0
12,0.9,1000.0,1.3,5.0,200000.0,30000.0
13,0.9,1000.0,1.6,6.0,240000.0,36000.0
14,0.9,1000.0,2.0,7.0,280000.0,42000.0
15,0.95,500.0,0.8,3.0,120000.0,9500.0
16,0.95,500.0,1.1,4.0,160000.0,12666.666666666666
17,0.95,500.0,1.3,5.0,200000.0,15833.333333333334
18,0.95,500.0,1.6,6.0,240000.0,19000.0
19,0.95,500.0,2.0,7.0,280000.0,22166.666666666668
20,0.95,750.0,0.8,3.0,120000.0,14250.0
21,0.95,750.0,1.1,4.0,160000.0,19000.0
22,0.95,750.0,1.3,5.0,200000.0,23750.0
23,0.95,750.0,1.6,6.0,240000.0,28500.0
24,0.95,750.0,2.0,7.0,280000.0,33250.0
25,0.95,1000.0,0.8,3.0,120000.0,19000.0
26,0.95,1000.0,1.1,4.0,160000.0,25333.333333333332
27,0.95,1000.0,1.3,5.0,200000.0,31666.666666666668
28,0.95,1000.0,1.6,6.0,240000.0,38000.0
29,0.95,1000.0,2.0,7.0,280000.0,44333.333333333336
30,0.99,500.0,0.8,3.0,120000.0,9900.0
31,0.99,500.0,1.1,4.0,160000.0,13200.0
32,0.99,500.0,1.3,5.0,200000.0,16500.0
33,0.99,500.0,1.6,6.0,240000.0,19800.0
34,0.99,500.0,2.0,7.0,280000.0,23100.0
35,0.99,750.0,0.8,3.0,120000.0,14850.0
36,0.99,750.0,1.1,4.0,160000.0,19800.0
37,0.99,750.0,1.3,5.0,200000.0,24750.0
38,0.99,750.0,1.6,6.0,240000.0,29700.0
39,0.99,750.0,2.0,7.0,280000.0,34650.0
40,0.99,1000.0,0.8,3.0,120000.0,19800.0
41,0.99,1000.0,1.1,4.0,160000.0,26400.0
42,0.99,1000.0,1.3,5.0,200000.0,33000.0
43,0.99,1000.0,1.6,6.0,240000.0,39600.0
44,0.99,1000.0,2.0,7.0,280000.0,46200.0
